viseme,description,JawOpen,JawForward,MouthClose,MouthFunnel,MouthPucker,MouthLeft,MouthRight,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,TongueOut
sil,"closed rest — silence + pauses",0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PP,"pressed lips — p / b / m",0.05,0.00,0.85,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00
FF,"lower lip on upper teeth — f / v / w",0.10,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.40,0.00,0.20,0.00,0.00,0.30,0.30,0.00,0.00,0.00
TH,"tongue between teeth — rare in SK; mapped from English ARPAbet only",0.20,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.10,0.10,0.40
DD,"tongue against alveolar ridge — t / d / n / l / ť / ď / ň",0.20,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.00,0.10,0.00,0.10,0.10,0.10,0.10,0.10,0.10
kk,"back of tongue raised — k / g / h / x / q",0.25,0.05,0.10,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.10
CH,"postalveolar fricative — š / ž / č / dž",0.15,0.10,0.00,0.30,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.10,0.00,0.20,0.20,0.00,0.00,0.00,0.00
SS,"dental sibilant — s / z / c / dz",0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.10,0.10,0.10
nn,"nasal n in contexts where DD is not used",0.10,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.20,0.10,0.00,0.10,0.10,0.10,0.10,0.10,0.10
RR,"alveolar trill/approximant — r / l / ľ / ŕ / ĺ",0.15,0.05,0.10,0.10,0.10,0.00,0.00,0.10,0.10,0.00,0.00,0.20,0.20,0.10,0.20,0.10,0.00,0.10,0.10,0.10,0.10,0.10,0.10
aa,"wide open — a / á / ä",0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.20,0.20,0.00
E,"mid open — e / é",0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.10,0.10,0.00
ih,"narrow open — i / í / y / ý / j",0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.10,0.00
oh,"rounded mid — o / ó / ô",0.45,0.05,0.00,0.50,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.10,0.20,0.10,0.10,0.10,0.10,0.00,0.00,0.00
ou,"small rounded — u / ú",0.20,0.05,0.00,0.30,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.10,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00
