text,label,emotion
To nie je celkom správne. Factory vzor má inú definíciu.,negative,correcting
"Pekne, len pokračuj s triedením.",positive,encouraging_mild
Poďme analyzovať embedding od základov.,neutral,thinking_deep
Poďme ďalej na abstrakciu.,neutral,neutral
"Dobre, pokračujme s regresia.",neutral,neutral
"Nie, toto nie je správna odpoveď. Embedding znamená niečo iné.",negative,correcting
Poďme ďalej na integrál.,neutral,neutral
"Dobre, pokračujme s triedami a objektmi.",neutral,neutral
"Pokračuj tak ďalej, Gaussova eliminácia sa ti darí.",positive,encouraging_mild
"V poriadku, prejdime k integrály.",neutral,neutral
Bohužiaľ nie. Gradient sa tak neimplementuje.,negative,correcting
To ma prekvapuje! BFS zvyčajne študenti neriešia.,neutral,surprise
Premýšľam nad integrál... Je tam viacero aspektov.,neutral,thinking_deep
"Bohužiaľ, návrhové vzory nefunguje takto. Skús to inak.",negative,correcting
"Bravo! Vidím, že dedičnosť ti už ide skvele.",positive,celebrating
"Tak teda, pole je naša ďalšia téma.",neutral,neutral
"Dobre, pozrime sa teraz na matice.",neutral,neutral
"Bohužiaľ, klasifikácia nefunguje takto. Skús to inak.",negative,correcting
"Pokračuj tak ďalej, rozhranie sa ti darí.",positive,encouraging_mild
"Hmm, zložitosť algoritmov je zložitejší problém. Treba to rozobrať.",neutral,thinking_deep
"Nič sa nedeje, trieda vyžaduje prax.",negative,patient
"Zaujímalo by ma, prečo sa pýtaš na ukazovatele.",neutral,curious
Vidím pokrok v tvojom chápaní determinantuov.,positive,proud
"Pokračuj tak ďalej, transformer sa ti darí.",positive,encouraging_mild
"Skvelé! Presne tak, Factory vzor funguje práve takto.",positive,celebrating
To je relevantná otázka o Factory vzore.,neutral,curious
Skvelo si to vyriešil! Návrhové vzory je jasný.,positive,celebrating
"Vidím, že robíš veľký pokrok v stromoch.",positive,proud
Toto je nesprávne riešenie pre polymorfizmus.,negative,correcting
"Skvelé! Presne tak, rozhranie funguje práve takto.",positive,celebrating
Tak poďme na DFS.,neutral,neutral
"Skvelé! Presne tak, for cyklus funguje práve takto.",positive,celebrating
Dobre sa pýtaš na klasifikácia.,neutral,curious
"Dobre, pokračujme s gradient descent.",neutral,neutral
"Hmm, vyhľadávanie je zložitejší problém. Treba to rozobrať.",neutral,thinking_deep
Zaujímavý pohľad na limity.,neutral,curious
"V poriadku, vyhľadávanie ide dobrým smerom.",positive,encouraging_mild
Bohužiaľ nie. O-notácia sa tak neimplementuje.,negative,correcting
"Bravo! Vidím, že O-notácia ti už ide skvele.",positive,celebrating
"Dobre, si na správnej ceste s premenné.",positive,encouraging_mild
"Tak, cykly — začneme od začiatku.",neutral,neutral
Pozrime sa na rozhranie podrobnejšie.,neutral,curious
Omyl. Pri abstraktné triedy treba postupovať inak.,negative,correcting
"Hej, rozumieš Gaussova eliminácia, to je hlavné.",positive,encouraging_mild
"Vidím, že si sa naučil quick sort veľmi dobre.",positive,proud
"Som rada, že Taylorov rad ti už nerobí problémy.",positive,proud
Pomaly a postupne. Polia pochopíš.,negative,patient
To si zvládol sám! Abstrakcia je pre teba jasný.,positive,proud
"Pokračuj tak ďalej, pole sa ti darí.",positive,encouraging_mild
"Nie, skúste znova. For cyklus funguje odlišne.",negative,correcting
"Správny prístup k neurónové siete, len dolaď detaily.",positive,encouraging_mild
"Som rada, že enkapsulácia ti už nerobí problémy.",positive,proud
Omyl. Pri hash tabuľky treba postupovať inak.,negative,correcting
Poďme ďalej na Taylorov polynom.,neutral,neutral
"Dobre, pozrime sa teraz na klastrovanie.",neutral,neutral
